text,category,sentiment_score,sentiment
satisfied,examination,1,positive
books are less,library_facilities,-1,negative
i think library facilities are only for hostelers,library_facilities,-1,negative
The examination pattern is good .But time is not sufficient for those questions.,examination,0,neutral
"The faculty is good ,interaction between student and teacher is also good",teaching,1,positive
Library facilities are very good. No issues,library_facilities,1,positive
these are very usefull to students .excellent,extracurricular,1,positive
"good, and also like the teaching style",teaching,1,positive
good facilities,library_facilities,1,positive
they are good,library_facilities,1,positive
extracurrcular activities held in university is good.,extracurricular,1,positive
Descent.,examination,1,positive
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,extracurricular,-1,negative
quite good,examination,1,positive
the labs are not practically built,labwork,-1,negative
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,course_content,-1,negative
very good there we can find several course books and we can find several reference books also...,library_facilities,1,positive
"good it is, but teachers do not consider the new ones.",extracurricular,0,neutral
library facilities are good but number of books are less,library_facilities,0,neutral
every thing is fine,course_content,1,positive
good,course_content,1,positive
library facility is good,library_facilities,1,positive
there are many oppertunities for students .. its all upon students about how they utilize them.,extracurricular,1,positive
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",library_facilities,-1,negative
its better,examination,1,positive
Lab or practical work is excellent and yes including evaluations also.,labwork,1,positive
The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,examination,0,neutral
"Good, but there should be at least one a practical subject in every semester",course_content,1,positive
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject,teaching,-1,negative
While coming to extracurriculum activities it's better than any other university which I had come around.,extracurricular,1,positive
The course notes are very knowledgeable and proper.,course_content,1,positive
they are good,extracurricular,1,positive
regarding the courses everything is good,course_content,1,positive
Accurate,examination,1,positive
not bad,examination,1,positive
having good material in labs.,labwork,1,positive
All the terms are good regarding the university activities.,teaching,1,positive
very good,course_content,1,positive
content of course is ample but depth must be more,course_content,0,neutral
LAB IS VERY GOOD,labwork,1,positive
we are getting maximum knowledge,course_content,1,positive
practical work is good,labwork,1,positive
extracurricular activities are good.,extracurricular,1,positive
content of courses improves my knowledge,course_content,1,positive
good,labwork,1,positive
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",library_facilities,1,positive
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses,extracurricular,-1,negative
some of the faculty are not uploading ppts,course_content,-1,negative
too many activities are conducted and student get ample amount of opportunities to participate,extracurricular,1,positive
It will provide us various books to increase our knowledge or to understand the  concept because it is good,library_facilities,1,positive
Excellent,extracurricular,1,positive
GOOD,library_facilities,1,positive
Average,labwork,0,neutral
Yes.,extracurricular,1,positive
Its very helpful,library_facilities,1,positive
not so good,examination,-1,negative
it was good but it can be improved,labwork,0,neutral
Its required some libral in rules,library_facilities,-1,negative
"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good",teaching,1,positive
not good,course_content,-1,negative
Good but lacks audience.....as only participants can see these activities on duty leave basis,extracurricular,0,neutral
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth.,labwork,1,positive
"The material provided in this university is depth of course, The courses in this university is knowledgeable",course_content,1,positive
insufficient books,library_facilities,-1,negative
exam pattern and marks distribution are good,examination,1,positive
practical work including evaluations are good so that students can learn about practicals.,labwork,1,positive
It's good but we don't get sufficient time for participating in that activities,extracurricular,0,neutral
examination pattern was excellent,examination,1,positive
Pattern and procedure of the examination is very good. Paper checking needed to be improved.,examination,0,neutral
"examination pattern, marks, paper checking is good.",examination,1,positive
Everything is going fine in lab . learning new things. That is good for us,labwork,1,positive
Good.,labwork,1,positive
The content of the courses are good but depth of courses are not enough to get the good concepts.,course_content,0,neutral
it helps in building up university's reputation.,extracurricular,1,positive
I don't know abt that bcoz i didn't go to library till now.,library_facilities,0,neutral
Its Good,labwork,1,positive
exam  pattern is very good but if you give question papers to students it is helpful,examination,0,neutral
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",library_facilities,-1,negative
good they are knowledgebale and helps us interacting with other students,extracurricular,1,positive
hahahah,extracurricular,0,neutral
More than best,extracurricular,1,positive
ok,extracurricular,1,positive
extracurricular activities increases mental and physical abilities,extracurricular,1,positive
It is excellent.,library_facilities,1,positive
Very rough handling,library_facilities,-1,negative
Interaction is good but it should b more ...rest is too perfect,teaching,1,positive
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,course_content,-1,negative
the material provided is beneficial and provides much knowledge,course_content,1,positive
excellent,library_facilities,1,positive
good teaching delivery,teaching,1,positive
all the books are easily available and accessable and the limit of book issued need to be increased,library_facilities,1,positive
some courses are irrelevant as they are not related to my stream.,course_content,-1,negative
Great job,extracurricular,1,positive
Yes,extracurricular,1,positive
unbiased,extracurricular,1,positive
its  booring,teaching,0,neutral
It's good but we don't find the books because their are much less number of books,library_facilities,0,neutral
Is good,course_content,1,positive
rough handling,library_facilities,-1,negative
labs are very interesting it is helpful to know the knowledge,labwork,1,positive
i dont think about,library_facilities,0,neutral
Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good.,extracurricular,-1,negative
very good and you can also increase the standard of Courses,course_content,1,positive
Too much lanlb file work,labwork,-1,negative
lab duration of 3 hours is very long .,labwork,-1,negative
No views,extracurricular,0,neutral
The content of course should be increase with depth,course_content,-1,negative
Yes,teaching,1,positive
"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",extracurricular,1,positive
i love it,library_facilities,1,positive
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",teaching,1,positive
good enough.,library_facilities,1,positive
lab work is quite good,labwork,1,positive
Descent.,library_facilities,1,positive
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",teaching,1,positive
"it is quite good , depending on teacher and their experience",teaching,1,positive
It is so good.,course_content,1,positive
Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,course_content,0,neutral
Accurate,teaching,1,positive
they are amazing and help to boost our stamina.,extracurricular,1,positive
every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,course_content,1,positive
Not good,library_facilities,-1,negative
Not upto the mark,labwork,-1,negative
ok,examination,1,positive
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good",labwork,-1,negative
All good,labwork,1,positive
facilities are good to overcome one's need,library_facilities,1,positive
good library facilities,library_facilities,1,positive
Very good,course_content,1,positive
its to good,teaching,1,positive
Very good,labwork,1,positive
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",course_content,-1,negative
better,extracurricular,1,positive
library facilities provided are excellent,library_facilities,1,positive
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject.",teaching,-1,negative
lecturer are punctual and can interact them easily.,teaching,1,positive
content is good enough,course_content,1,positive
all things are good,teaching,1,positive
library has huge collection of books from different authors,library_facilities,1,positive
lab improves practical knowledge,labwork,-1,negative
good.,course_content,1,positive
content of course is appropriate,course_content,1,positive
Excellent but it depends upon teacher,teaching,1,positive
"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded",examination,-1,negative
"I like it , i am satisfied all these work",examination,1,positive
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",examination,1,positive
According to me students are doing lab only for marks .,labwork,-1,negative
pretty good,labwork,1,positive
the extracurricular activities held in university  are very enjoyable and good,extracurricular,1,positive
"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",examination,-1,negative
excellent,course_content,1,positive
well planned,course_content,1,positive
very good,library_facilities,1,positive
too much good,labwork,1,positive
very strcitly they evaluted marks,labwork,-1,negative
punctuality and lecture is good here but interaction isn't good.,teaching,0,neutral
They are good.,library_facilities,1,positive
practicle must be of 2 hours,labwork,-1,negative
Good,teaching,1,positive
excelent,extracurricular,1,positive
Almost each and every books is there.But the time limit for keeping book is too much shorted.,library_facilities,0,neutral
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",teaching,1,positive
"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",course_content,1,positive
the way of teaching is good but the time more than enough,teaching,1,positive
"Sometimes only book is available for some subjects
And it is reserved",library_facilities,-1,negative
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",labwork,-1,negative
Here we r able to do every thing by our own with u r valuable support,labwork,1,positive
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD,examination,1,positive
Well and Good,teaching,1,positive
"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",examination,-1,negative
perfect,library_facilities,1,positive
exam pattern is very nice but paper checking is not at all good .,examination,0,neutral
not good enough.. we want something more.,course_content,-1,negative
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input.",teaching,1,positive
In CA's its in the hands of lectures... while in mte's and ete's its good.,examination,0,neutral
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,library_facilities,0,neutral
3 hours practical is so long. It should be of 2 hours only,labwork,-1,negative
It is very gud,examination,1,positive
good quallity content but some teachers donot upload ppts on time,course_content,0,neutral
VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,extracurricular,-1,negative
good and ample number of extracurricular activities take place,extracurricular,1,positive
not bad,labwork,1,positive
not every one is getting opportunities here only recommended students getting.,extracurricular,-1,negative
They are doing there job well,library_facilities,1,positive
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,course_content,0,neutral
it is very nice and timings of library is good 5/5,library_facilities,1,positive
"waste ,library is not the good place to study",library_facilities,-1,negative
course contents are very much relevant to our courses,course_content,1,positive
Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments,labwork,1,positive
LPU gives the best opportunity for the students to show their talent.,extracurricular,1,positive
"Awesome, peaceful, relaxing atmosphere",library_facilities,1,positive
EXCELLENT,teaching,1,positive
I like it soo much,labwork,1,positive
Library facilities are the strength of this university. It is awesome.,library_facilities,1,positive
Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,examination,-1,negative
Perfect,teaching,1,positive
its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk,examination,-1,negative
very bad,labwork,1,positive
fully knowledgeable,course_content,1,positive
Everything is fine.,examination,1,positive
GOOD,course_content,1,positive
well and good infrastructure and have trending software in lab,labwork,1,positive
labs are good but experiments are not very informative,labwork,0,neutral
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",library_facilities,0,neutral
every thing is excllent but paper checking is not good,examination,0,neutral
Examination pattern is good but mcq paper checking marks are not correct sometimes.,examination,0,neutral
bcoz of lectures..we don't get time to participate..,extracurricular,-1,negative
Yes,course_content,1,positive
good.,extracurricular,1,positive
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",teaching,1,positive
Good,labwork,1,positive
Everything would be fine if there are less number of students in our btech CSE.,teaching,0,neutral
it is good leaning in lab but the lab instruments are not properly working,labwork,0,neutral
Everything is pretty well organised,examination,1,positive
the content of the course should be increased with the depth.,course_content,-1,negative
Lab evaluations are very strict,labwork,-1,negative
all the given terms are good regarding the university,teaching,1,positive
Good it provides a great platform,extracurricular,1,positive
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",teaching,0,neutral
I am really enjoying,extracurricular,1,positive
satisfactory,teaching,1,positive
good enough,teaching,1,positive
All are good except paper checking. It should be improved,examination,0,neutral
bad,labwork,-1,negative
staff is showing partiality between north indians and south indians,teaching,-1,negative
